,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
25,Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.7694843,-122.4847645,rec,POINT (-122.4847645 37.7694843),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,233.0,9.0,8.0,4.0
26,Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78696692,-122.46778648,rec,POINT (-122.46778648 37.78696692),1.0,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11.0,134.0,4.0,,6.0
27,474 O'Farrell Street,5601879945750936299,restroom,0,0,0,0,37.7858991,-122.4119361,pit_stop,POINT (-122.4119361 37.7858991),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,5.0,10.0
28,Community Youth Center,3575271813702956970,drinking_water,0,1,0,0,37.78702,-122.419028,puc,POINT (-122.419028 37.78702),3.0,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21.0,,50.0,4.0,3.0
29,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76717876,-122.50798028,rec,POINT (-122.50798028 37.76717876),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
30,Stanyan and Waller streets (JCDecaux),3881244056408532343,restroom,0,0,0,0,37.7682426,-122.4534175,pit_stop,POINT (-122.4534175 37.7682426),5.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,,9.0,7.0,11.0
31,Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.77269076,-122.4551895,rec,POINT (-122.4551895 37.77269076),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,4.0
32,Washington Square,5386547074523041759,restroom,0,0,0,0,37.8010607,-122.41064148,rec,POINT (-122.41064148 37.8010607),3.0,North Beach,2023-03-08,2023-03-08T15:29:00Z,23.0,94.0,106.0,6.0,3.0
33,Lower Great Highway,2779846454828783660,restroom,0,0,0,0,37.76023995,-122.50955372,rec,POINT (-122.50955372 37.76023995),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,20.0,39.0,10.0,7.0
34,Noe Valley Courts,7029988507837525942,restroom,0,0,0,0,37.75148373,-122.43920333,rec,POINT (-122.43920333 37.75148373),8.0,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22.0,132.0,51.0,3.0,5.0
35,Parkside Square,4331392490837902930,drinking_water,1,0,0,0,37.73787439,-122.48462486,rec,POINT (-122.48462486 37.73787439),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,217.0,40.0,10.0,7.0
36,Excelsior Playground,6088569207447809868,drinking_water,1,0,0,0,37.72007917,-122.43379905,rec,POINT (-122.43379905 37.72007917),11.0,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7.0,161.0,90.0,9.0,1.0
37,Pier 14,760719995364998060,drinking_water,1,1,0,0,37.793789,-122.392106,port,POINT (-122.392106 37.793789),6.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,,108.0,1.0,10.0
38,Michelangelo Playground,7384056565533913918,drinking_water,1,0,0,0,37.80117348,-122.41698043,rec,POINT (-122.41698043 37.80117348),3.0,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32.0,137.0,107.0,6.0,6.0
